Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7264017033356991,0.9084446623360706,0.5775734434660641,0.7061737804878049,0.8774706086873795
Decision Tree,0.7662349183818311,0.954780517137703,0.6186394451803943,0.7508038585209004,0.7932186861242131
Random Forest,0.7769694819020582,0.9619983426068427,0.6332112522403179,0.7637218045112782,0.9542644380036495
K-Nearest Neighbors,0.7995031937544358,0.9659231027911669,0.6714719862853581,0.7922221200698722,0.8393313988480441
Gradient Boosting,0.776792051100071,0.9651759093619559,0.630639756876802,0.7628428692619474,0.9557997538509941
XGBoost,0.7964425124201562,0.9681962744207179,0.6642250448063586,0.7879095992974997,0.9688001597287615
