Method,Precision,Recall,F1
PyTorch (thresh=0.49),0.6574426309976684,0.9454689843818936,0.775578154970866
Random Forest Ensemble,0.5782163335745699,0.9164828377305215,0.7090729109776078
XGBoost,0.853027353351818,0.9569178505250154,0.9019909549306024
Voting Ensemble,0.8826883910386966,0.9082546545486632,0.8952890396512172
