"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.100.130","2.17.161.67","QUIC","1292","Initial, DCID=2041f9e83198abb0, PKN: 1, PING, CRYPTO, PING, PING, CRYPTO, CRYPTO, PING, PING, CRYPTO, PADDING, PING, PING, PADDING, PING, PADDING, PING, PING, PADDING, CRYPTO"
"2","0.000082","192.168.100.130","2.17.161.67","QUIC","1292","Initial, DCID=2041f9e83198abb0, PKN: 2, PING, PADDING, PING, PADDING, PING, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING"
"3","0.017925","2.17.161.67","192.168.100.130","QUIC","82","Initial, SCID=48c6591b3940fd2b, PKN: 1, ACK"
"4","0.018964","2.17.161.67","192.168.100.130","QUIC","1292","Initial, SCID=48c6591b3940fd2b, PKN: 2, ACK, PADDING"
"5","0.020182","2.17.161.67","192.168.100.130","QUIC","1292","Initial, SCID=48c6591b3940fd2b, PKN: 3, CRYPTO, PADDING"
"6","0.020182","2.17.161.67","192.168.100.130","QUIC","296","Handshake, SCID=48c6591b3940fd2b"
"7","0.023400","192.168.100.130","2.17.161.67","QUIC","1292","Handshake, DCID=48c6591b3940fd2b"
"8","0.023576","192.168.100.130","2.17.161.67","QUIC","131","Handshake, DCID=48c6591b3940fd2b"
"9","0.023700","192.168.100.130","2.17.161.67","QUIC","114","Protected Payload (KP0), DCID=48c6591b3940fd2b"
"10","0.023767","192.168.100.130","2.17.161.67","QUIC","71","Protected Payload (KP0), DCID=48c6591b3940fd2b"
"11","0.063383","192.168.100.130","2.17.161.67","QUIC","203","Protected Payload (KP0), DCID=48c6591b3940fd2b"
"12","0.065625","2.17.161.67","192.168.100.130","QUIC","345","Protected Payload (KP0)"
"13","0.066003","2.17.161.67","192.168.100.130","QUIC","104","Protected Payload (KP0)"
"14","0.066317","192.168.100.130","2.17.161.67","QUIC","73","Protected Payload (KP0), DCID=48c6591b3940fd2b"
"15","0.067469","2.17.161.67","192.168.100.130","QUIC","63","Protected Payload (KP0)"
"16","0.067469","2.17.161.67","192.168.100.130","QUIC","112","Protected Payload (KP0)"
