No.,Time,Source,Destination,Protocol,Length,Info,attack_probability,prediction,confidence
114,7.248398,47.246.7.204,192.168.100.130,TCP,60,443  >  61814 [ACK] Seq=867 Ack=1218 Win=83 Len=0,0.931376,ATTACK,0.931376
115,7.253255,47.246.7.204,192.168.100.130,TCP,60,443  >  61814 [ACK] Seq=867 Ack=2630 Win=82 Len=0,0.931376,ATTACK,0.931376
116,7.254793,47.246.7.204,192.168.100.130,TCP,60,443  >  61814 [ACK] Seq=867 Ack=2717 Win=83 Len=0,0.931376,ATTACK,0.931376
117,7.717512,47.246.7.204,192.168.100.130,TLSv1.2,1063,Application Data,0.931376,ATTACK,0.931376
118,7.754137,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
119,7.769606,192.168.100.130,47.246.7.204,TCP,54,61814  >  443 [ACK] Seq=2717 Ack=1876 Win=255 Len=0,0.931376,ATTACK,0.931376
120,7.794687,2.17.161.67,192.168.100.130,QUIC,66,Protected Payload (KP0),0.931376,ATTACK,0.931376
121,7.891873,192.168.100.40,255.255.255.255,UDP,240,6537  >  6537 Len=198,0.931376,ATTACK,0.931376
122,8.096596,192.168.100.40,255.255.255.255,UDP,240,6537  >  6537 Len=198,0.931376,ATTACK,0.931376
123,8.318203,Intel_45:55:60,TecnoMobile_f6:cd:a1,ARP,42,Who has 192.168.100.5? Tell 192.168.100.130,0.931376,ATTACK,0.931376
124,8.346681,TecnoMobile_f6:cd:a1,Intel_45:55:60,ARP,64,192.168.100.5 is at 20:26:81:f6:cd:a1,0.931376,ATTACK,0.931376
125,8.593868,fe80::342f:3ff:fe0e:101f,ff02::fb,MDNS,139,"Standard query 0x0017 PTR _googlecast._tcp.local, ""QM"" question PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question",0.931376,ATTACK,0.931376
126,8.608,192.168.100.125,224.0.0.251,MDNS,119,"Standard query 0x0017 PTR _googlecast._tcp.local, ""QM"" question PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question",0.931376,ATTACK,0.931376
127,10.024445,TecnoMobile_f6:cd:a1,Intel_45:55:60,ARP,64,Who has 192.168.100.130? Tell 192.168.100.5,0.931376,ATTACK,0.931376
128,10.024494,Intel_45:55:60,TecnoMobile_f6:cd:a1,ARP,42,192.168.100.130 is at e0:d4:e8:45:55:60,0.931376,ATTACK,0.931376
129,10.328875,192.168.100.130,13.107.6.158,TCP,55,15402  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1,0.931376,ATTACK,0.931376
130,10.34459,192.168.100.130,192.168.1.4,TCP,66,[TCP Retransmission] 57204  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM,0.931376,ATTACK,0.931376
131,10.467503,13.107.6.158,192.168.100.130,TCP,66,443  >  15402 [ACK] Seq=1 Ack=2 Win=16384 Len=0 SLE=1 SRE=2,0.931376,ATTACK,0.931376
132,10.516676,fe80::fc0b:e4ff:feb3:7946,ff02::fb,MDNS,123,"Standard query 0x0005 PTR _googlecast._tcp.local, ""QM"" question PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question",0.931376,ATTACK,0.931376
133,10.553977,192.168.100.11,224.0.0.251,MDNS,103,"Standard query 0x0005 PTR _googlecast._tcp.local, ""QM"" question PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question",0.931376,ATTACK,0.931376
134,10.983827,192.168.100.130,57.144.139.32,TLSv1.2,124,Application Data,0.931376,ATTACK,0.931376
135,10.996774,57.144.139.32,192.168.100.130,TCP,60,443  >  60990 [ACK] Seq=1 Ack=71 Win=528 Len=0,0.931376,ATTACK,0.931376
136,11.13933,57.144.139.32,192.168.100.130,TLSv1.2,126,Application Data,0.931376,ATTACK,0.931376
137,11.19179,192.168.100.130,57.144.139.32,TCP,54,60990  >  443 [ACK] Seq=71 Ack=73 Win=507 Len=0,0.931376,ATTACK,0.931376
138,11.611564,192.168.100.130,4.213.133.127,TCP,55,1460  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1,0.931376,ATTACK,0.931376
139,11.810076,4.213.133.127,192.168.100.130,TCP,66,443  >  1460 [ACK] Seq=1 Ack=2 Win=16384 Len=0 SLE=1 SRE=2,0.931376,ATTACK,0.931376
140,11.904765,104.18.39.21,192.168.100.130,TLSv1.2,82,Application Data,0.931376,ATTACK,0.931376
141,11.905055,192.168.100.130,104.18.39.21,TLSv1.2,82,Application Data,0.931376,ATTACK,0.931376
142,11.916797,104.18.39.21,192.168.100.130,TCP,64,443  >  54876 [ACK] Seq=25 Ack=29 Win=19 Len=0,0.931376,ATTACK,0.931376
143,13.31923,192.168.100.40,255.255.255.255,UDP,240,6537  >  6537 Len=198,0.931376,ATTACK,0.931376
